日期,day_of_week,day_of_month,month,quarter,is_weekend,is_month_start,is_month_end,equip_capacity_utilization_mean,equip_capacity_utilization_std,equip_capacity_utilization_max,equip_capacity_utilization_min,equip_efficiency_gap_mean,equip_efficiency_gap_std,equip_efficiency_gap_max,equip_availability_ratio_mean,equip_availability_ratio_min,equip_is_downtime_sum,equip_output_per_hour_mean,equip_efficiency_trend_3d_mean,area_AREA_A_util,area_AREA_B_util,buffer_turnover,inventory_coverage,safety_stock_ratio,near_overflow,near_empty,buffer_depletion_rate,fill_to_pack_ratio,bottleneck_score_fill,bottleneck_score_ster,next_downtime,next_near_empty,is_bottleneck_fill,is_bottleneck_ster,production_gap,filling_packaging_balance,bottleneck_severity,buffer_risk_score
2025-06-18,2.0,18.0,6.0,2.0,0,0,0,0.951057,0.908686,3.964793,0.635326,-0.11559,0.887551,0.218884,0.8625,0.0,25.0,36114.17971,-0.185175,0.7079345894607844,1.4676931573275862,0.0,0.0,0.0,0.0,1.0,0.0,0.9933806084535585,1.0066634998606347,1.0054215229540273,1.0,0.0,0.0,0.0,0.10105700000000006,0.9933806084535585,1.0066634998606347,1.0
2025-06-19,3.0,19.0,6.0,2.0,0,0,0,1.061189,0.974718,4.29842,0.751524,-0.237848,0.956286,0.154864,0.9,0.0,25.0,39827.933333,-0.13106,0.7896311274509804,1.6382481142241379,0.0,0.0,0.0,0.0,1.0,0.0,1.0838925593327464,1.0012045824268845,0.9214906572109217,1.0,0.0,0.0,0.0,0.21118899999999996,1.0838925593327464,1.0012045824268845,1.0
2025-06-20,4.0,20.0,6.0,2.0,0,0,0,1.005226,0.993959,4.29567,0.635852,-0.170773,0.970148,0.155374,0.8625,0.0,25.0,38163.852174,-0.041551,0.7484819896708684,1.5508067977729885,0.0,0.0,0.0,0.0,1.0,0.0,0.9176318810869228,1.0897616142271307,1.088427149006389,1.0,0.0,0.0,0.0,0.15522599999999998,0.9176318810869228,1.0897616142271307,1.0
2025-06-21,5.0,21.0,6.0,2.0,1,0,0,0.927246,0.90983,3.940593,0.593988,-0.087739,0.88696,0.223588,0.9375,0.9375,25.0,34365.896,0.009284,0.6903547575280111,1.430639053520115,0.0,220.0,0.07638888886236497,0.0,1.0,-31.666666666666664,0.934519952209083,1.0700681110506625,1.068831278277858,1.0,0.0,0.0,0.0,0.07724600000000004,0.934519952209083,1.0700681110506625,0.923611111137635
2025-06-22,6.0,22.0,6.0,2.0,1,0,0,0.410147,0.309138,1.423655,0.268424,0.458078,0.320302,0.7067,0.9,0.0,25.0,15538.244444,0.231975,0.3046778492647059,0.634270474137931,0.0,460.5,0.1755208332651548,0.0,0.0,18.0,1.6161041929277575,1.0012495411194267,0.6179997692314879,1.0,0.0,0.0,0.0,-0.439853,1.6161041929277575,1.0012495411194267,0.8244791667348452
2025-06-23,0.0,23.0,6.0,2.0,0,0,0,0.575271,0.703105,2.856214,0.22829,0.302494,0.673571,0.556052,0.9375,0.9375,25.0,21190.717333,0.157756,0.42938889618347337,0.8852709680316091,0.6316575139380718,1.620415377817057,0.4429398146342245,0.0,0.0,230.0,0.4949788261863625,2.0202884388079796,2.0157128616166644,1.0,0.0,1.0,1.0,-0.274729,0.4949788261863625,2.0202884388079796,0.5570601853657755
2025-06-24,1.0,24.0,6.0,2.0,0,0,0,0.810248,0.729352,3.233398,0.589715,0.031722,0.714223,0.358659,0.9,0.0,25.0,30405.45,0.03982,0.6030067839635853,1.2506359554597701,0.0,418.5,0.16093749993688514,0.0,0.0,66.16666666666667,1.1294878626427638,1.0022506653540557,0.8833688450887958,1.0,0.0,0.0,0.0,-0.03975200000000001,1.1294878626427638,1.0022506653540557,0.8390625000631149
2025-06-25,2.0,25.0,6.0,2.0,0,0,1,1.02262,0.994225,4.316999,0.664099,-0.190947,0.971341,0.150446,0.9,0.0,25.0,38271.644444,-0.216342,0.7615831363795519,1.5773239493534483,0.0,891.0,0.30937499989257816,0.0,0.0,80.0,0.952701714041202,1.0496464793347973,1.0473080471561933,1.0,0.0,0.0,0.0,0.1726200000000001,0.952701714041202,1.0496464793347973,0.6906250001074219
2025-06-26,3.0,26.0,6.0,2.0,0,0,1,0.878447,0.826809,3.622261,0.599731,-0.038571,0.807222,0.283958,0.8625,0.0,25.0,33358.884058,-0.113688,0.6540155593487396,1.3553634608477012,0.1981981981981982,5.040909090909091,0.3850694443107398,0.0,0.0,-36.333333333333336,1.0253922135127091,1.0022175389603865,0.97307874439499,1.0,0.0,0.0,0.0,0.028447,1.0253922135127091,1.0022175389603865,0.6149305556892601
2025-06-27,4.0,27.0,6.0,2.0,0,0,1,0.858973,0.828454,3.605235,0.564944,-0.015708,0.807122,0.287231,0.8625,0.0,25.0,32732.026087,-0.01581,0.6396581538865547,1.3250171515804596,0.0,889.0,0.3086805554483748,0.0,0.0,107.33333333333333,0.9704793141213592,1.030418665754729,1.028140505338535,1.0,0.0,0.0,0.0,0.008973000000000009,0.9704793141213592,1.030418665754729,0.6913194445516252
2025-06-28,5.0,28.0,6.0,2.0,1,0,1,0.866505,0.827828,3.611956,0.578344,-0.024546,0.807146,0.285928,0.9375,0.9375,25.0,32136.088,0.055467,0.6452154017857143,1.3367467672413793,0.17966903073286053,611.8881578947369,0.30966435173302337,0.0,0.0,80.33333333333333,0.9916306460392629,1.0084399912343045,1.0061933460676564,1.0,0.0,0.0,0.0,0.016504999999999992,0.9916306460392629,1.0084399912343045,0.6903356482669767
2025-06-29,6.0,29.0,6.0,2.0,1,0,1,0.223556,0.157395,0.730138,0.137796,0.661414,0.184044,0.839702,0.9,0.0,25.0,8354.302778,0.233328,0.16601122636554622,0.34583926005747123,0.0,835.5,0.3057291665532769,0.0,0.0,-73.0,1.8469430205665829,1.0022014972628843,0.540245869832946,1.0,0.0,0.0,0.0,-0.626444,1.8469430205665829,1.0022014972628843,0.6942708334467231
2025-06-30,0.0,30.0,6.0,2.0,0,0,1,0.530506,0.492514,2.165718,0.369578,0.335707,0.477273,0.563824,0.9,0.0,25.0,19899.216667,0.117138,0.39492583595938374,0.8186131914511494,0.6837085243738464,1.8564463705308776,0.6557870367837471,0.0,0.0,383.33333333333337,1.0568149098125696,1.0022618477488283,0.9441040691191134,1.0,1.0,0.0,0.0,-0.31949399999999994,1.0568149098125696,1.0022618477488283,0.34421296321625294
2025-07-01,1.0,1.0,7.0,3.0,0,1,0,0.598848,0.580368,2.522232,0.390852,0.264284,0.560875,0.495308,0.7875,0.0,25.0,23375.765079,0.096277,0.44597728466386555,0.9236974227729885,0.0,0.0,0.0,0.0,1.0,-140.66666666666666,0.9596550805459889,1.0420410627434307,1.0396754039217007,1.0,1.0,0.0,0.0,-0.25115199999999993,0.9596550805459889,1.0420410627434307,1.0
2025-07-02,2.0,2.0,7.0,3.0,0,1,0,0.606314,0.57783,2.522868,0.406179,0.255344,0.559517,0.495172,0.9375,0.9375,25.0,22487.754667,-0.135357,0.45147325805322125,0.9353511584051725,0.0,0.0,0.0,0.0,1.0,-140.66666666666666,0.9970059742015203,1.003003016907864,1.000696702771851,1.0,0.0,0.0,0.0,-0.24368599999999996,0.9970059742015203,1.003003016907864,1.0
2025-07-03,3.0,3.0,7.0,3.0,0,1,0,0.594612,0.585284,2.532581,0.37853,0.269673,0.56474,0.493339,0.9,0.0,25.0,22347.852778,-0.022011,0.4428797706582633,0.9170423401580461,3.2370574348157097,0.8595489971266902,0.31614583321873796,0.0,1.0,45.0,0.9256380121358422,1.0803359270994468,1.077924217273622,1.0,1.0,0.0,0.0,-0.25538799999999995,0.9256380121358422,1.0803359270994468,0.6838541667812621
2025-07-04,4.0,4.0,7.0,3.0,0,1,0,0.639773,0.565906,2.520079,0.475573,0.215105,0.553927,0.495789,0.9,0.0,25.0,24001.041667,-0.016393,0.47604289215686274,0.9876981411637931,4.080526444285701,0.6033957807805396,0.2536458332404393,0.0,1.0,-159.16666666666666,1.1721021507608853,1.0021355064920388,0.8513498960215719,1.0,0.0,0.0,0.0,-0.21022699999999994,1.1721021507608853,1.0021355064920388,0.7463541667595607
2025-07-05,5.0,5.0,7.0,3.0,1,1,0,0.218367,0.153674,0.712915,0.134568,0.667131,0.180638,0.842987,0.9375,0.9375,25.0,8160.730667,0.137262,0.16216500350140056,0.3377977280890805,1.7762121609485888,0.5797756292833839,0.24930555545693478,0.0,0.0,-203.0,1.8479838750190403,1.0023705696660263,0.5398505095889423,1.0,0.0,0.0,0.0,-0.631633,1.8479838750190403,1.0023705696660263,0.7506944445430652
